Reference text,Machine generated text,Quality dimension group,ROUGE 1 F1,ROUGE 1 Precision,ROUGE 1 Recall,ROUGE 2 F1,ROUGE 2 Precision,ROUGE 2 Recall,ROUGE L F1,ROUGE L Precision,ROUGE L Recall,BLEU,BERTscore F1,BERTscore Precision,BERTscore Recall
Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,Tracy was not at home this evening and resisted the attack on Riley. What do you think Tracy should do before the day?,veryLow,0.5581395348837209,0.5217391304347826,0.6,0.14634146341463414,0.13636363636363635,0.15789473684210525,0.46511627906976744,0.43478260869565216,0.5,0.05970228993860437,0.9314529895782471,0.9291915893554688,0.9337255358695984
Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,Tracy was not at home this evening and resisted the attack on Riley.,low,0.4848484848484849,0.6153846153846154,0.4,0.12903225806451615,0.16666666666666666,0.10526315789473684,0.3636363636363637,0.46153846153846156,0.3,0.05947498482895494,0.9067895412445068,0.9213778972625732,0.8926559090614319
Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,Tracy was not at home this evening and resisted the attack on Riley.,medium,0.4848484848484849,0.6153846153846154,0.4,0.12903225806451615,0.16666666666666666,0.10526315789473684,0.3636363636363637,0.46153846153846156,0.3,0.05947498482895494,0.9067895412445068,0.9213778972625732,0.8926559090614319
Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,Tracy never returned home to Riley after he faced a missile attack on Riley.,high,0.2941176470588235,0.35714285714285715,0.25,0.0,0.0,0.0,0.23529411764705882,0.2857142857142857,0.2,0.014126508859988748,0.8885787725448608,0.9026133418083191,0.8749740123748779
Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,Tracy was not at home this evening and resisted the attack on Riley.,veryHigh,0.4848484848484849,0.6153846153846154,0.4,0.12903225806451615,0.16666666666666666,0.10526315789473684,0.3636363636363637,0.46153846153846156,0.3,0.05947498482895494,0.9067895412445068,0.9213778972625732,0.8926559090614319
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"Sydney came up against a homeless person wanting to change, but sydney felt bad after she was given the money.",veryLow,0.40816326530612246,0.5,0.3448275862068966,0.1702127659574468,0.21052631578947367,0.14285714285714285,0.32653061224489793,0.4,0.27586206896551724,0.02112142601526175,0.8977884650230408,0.9108319878578186,0.8851133584976196
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"Sydney has come up against a homeless person wanting to change, but sydney has no money to make a difference.",low,0.32653061224489793,0.4,0.27586206896551724,0.0851063829787234,0.10526315789473684,0.07142857142857142,0.2857142857142857,0.35,0.2413793103448276,0.01708948754688216,0.8780481815338135,0.8857823610305786,0.8704478144645691
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"Sydney has come up against a homeless person wanting to change, but sydney has no money to give her.",medium,0.4166666666666667,0.5263157894736842,0.3448275862068966,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.3333333333333333,0.42105263157894735,0.27586206896551724,0.01799068506557448,0.8905004858970642,0.8987395167350769,0.8824112415313721
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"Sydney has come up against a homeless person wanting to change, but Sydney has no money to make a difference.",high,0.32653061224489793,0.4,0.27586206896551724,0.0851063829787234,0.10526315789473684,0.07142857142857142,0.2857142857142857,0.35,0.2413793103448276,0.017760931421280154,0.8876885175704956,0.9002225399017334,0.8754987120628357
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"Sydney has come up against a homeless person wanting to change, but sydney has no money to give her.",veryHigh,0.4166666666666667,0.5263157894736842,0.3448275862068966,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.3333333333333333,0.42105263157894735,0.27586206896551724,0.01799068506557448,0.8905004858970642,0.8987395167350769,0.8824112415313721
