Reference text,Machine generated text,Quality dimension group,ROUGE 1 F1,ROUGE 1 Precision,ROUGE 1 Recall,ROUGE 2 F1,ROUGE 2 Precision,ROUGE 2 Recall,ROUGE L F1,ROUGE L Precision,ROUGE L Recall,BLEU,BERTscore F1,BERTscore Precision,BERTscore Recall
A knife could be used in place of a screwdriver.,Knifes could be used in place of a sledgehammer.,veryLow,0.8421052631578948,0.8888888888888888,0.8,0.823529411764706,0.875,0.7777777777777778,0.8421052631578948,0.8888888888888888,0.8,0.6496350258549114,0.9439371824264526,0.9404526948928833,0.9474475383758545
A knife could be used in place of a screwdriver.,Knifes could replace a screwdriver.,low,0.5333333333333333,0.8,0.4,0.30769230769230765,0.5,0.2222222222222222,0.5333333333333333,0.8,0.4,0.04625839074220484,0.9411106109619141,0.9433668851852417,0.938865065574646
A knife could be used in place of a screwdriver.,It's possible to use a knife in place of a screwdriver.,medium,0.7272727272727272,0.6666666666666666,0.8,0.5,0.45454545454545453,0.5555555555555556,0.6363636363636365,0.5833333333333334,0.7,0.3672056269893592,0.9510526657104492,0.9479405879974365,0.9541852474212646
A knife could be used in place of a screwdriver.,Using a knife instead of a screwdriver.,high,0.7058823529411764,0.8571428571428571,0.6,0.4,0.5,0.3333333333333333,0.588235294117647,0.7142857142857143,0.5,0.11443963624627547,0.9438228011131287,0.9510080814361572,0.9367452263832092
A knife could be used in place of a screwdriver.,I think a knife could be used instead of a screwdriver.,veryHigh,0.761904761904762,0.7272727272727273,0.8,0.631578947368421,0.6,0.6666666666666666,0.761904761904762,0.7272727272727273,0.8,0.33932513407933634,0.9598548412322998,0.9533469676971436,0.9664521813392639
Working at minimum wage it will take Anita long to pay off her student loans.,Working at the minimum wage would take Anita long to pay for the loans granted by her students.,veryLow,0.7272727272727272,0.6666666666666666,0.8,0.45161290322580644,0.4117647058823529,0.5,0.6666666666666666,0.6111111111111112,0.7333333333333333,0.26460159523593296,0.9439157843589783,0.9372460246086121,0.950681209564209
Working at minimum wage it will take Anita long to pay off her student loans.,Working at minimum wages will make Anita long to pay for her student loans.,low,0.8275862068965518,0.8571428571428571,0.8,0.5925925925925927,0.6153846153846154,0.5714285714285714,0.8275862068965518,0.8571428571428571,0.8,0.31329633532721574,0.9455630779266357,0.9477054476737976,0.9434303045272827
Working at minimum wage it will take Anita long to pay off her student loans.,It will take an interim long time to pay for student loans.,medium,0.5925925925925926,0.6666666666666666,0.5333333333333333,0.32,0.36363636363636365,0.2857142857142857,0.5925925925925926,0.6666666666666666,0.5333333333333333,0.05049833895129585,0.9057226777076721,0.9092727303504944,0.9022002816200256
Working at minimum wage it will take Anita long to pay off her student loans.,Anita longs to pay for her student loans.,high,0.608695652173913,0.875,0.4666666666666667,0.4761904761904762,0.7142857142857143,0.35714285714285715,0.608695652173913,0.875,0.4666666666666667,0.07541941061597948,0.9031583070755005,0.9224796891212463,0.8846296668052673
Working at minimum wage it will take Anita long to pay off her student loans.,"To work at minimum wages, Anita will have to wait to pay for her student loans.",veryHigh,0.7096774193548386,0.6875,0.7333333333333333,0.4137931034482759,0.4,0.42857142857142855,0.6451612903225806,0.625,0.6666666666666666,0.09528070628428423,0.9342172741889954,0.9360760450363159,0.9323659539222717
